ORDEM;MEDIDO;ESTIMADO
2962;422.0183;388.108919
2963;292.4771;284.3538576
2964;152.2018;123.0318362
2965;10.3211;13.13219742
2966;355.0459;349.4304307
2967;30.3211;19.90828486
2968;90.5505;89.02905386
2969;63.6239;66.87635358
2970;322.9358;317.4345538
2971;135.6881;132.5907687
2972;375.2294;370.1811512
2973;80.0917;74.8735503
2974;432.1101;442.7702791
2975;57.3853;57.75961728
2976;338.5321;329.2771463
2977;148.0275;150.6515736
2978;310.0917;317.9903686
2979;115.4128;115.7103914
2980;210.4587;208.6077626
2981;66.8349;67.39108582
2982;71.11951;73.65715852
2983;68.578;61.97053544
2984;316.46279;318.4908894
2985;168.39133;173.0771218
2986;280.5046;276.3461808
2987;173.8532;174.890459
2988;110.8716;112.3179022
2989;184.6789;182.4671694
2990;13.7156;10.23992846
2991;224.3578;224.954584
2992;120.8716;126.525428
2993;28.578;29.04073216
2994;187.1101;189.4677269
2995;332.5688;327.1481732
2996;10.0917;9.292166128
2997;432.1101;435.1679551
2998;269.5413;270.3819798
2999;45.7339;43.65606535
3000;506.8807;494.1716977
3001;79.1908;85.6161459
3002;5.1835;2.870663134
3003;117.0642;119.1992352
3004;165.4587;165.3522723
3005;41.4679;40.92257277
3006;15.7798;16.20311612
3007;6.2844;5.906182894
3008;401.3761;399.0060649
3009;61.055;65.57991458
3010;54.817;50.17728076
3011;198.211;192.5158942
3012;288.0734;298.0376365
3013;13.87281;15.37755823
3014;236.3303;240.0358974
3015;167.73281;162.4363784
3016;16.1009;15.46052811
3017;189.9083;190.5649358
3018;26.97492;28.01438123
3019;222.9816;211.7449932
3020;66.2385;68.64892847
3021;14.8624;8.246128904
3022;349.0826;363.2092523
3023;87.7064;86.97433221
3024;154.3119;150.9646975
3025;28.4404;25.16947055
3026;420.1835;427.1158553
3027;402.7523;411.9253502
3028;250.2294;249.1667091
3029;69.4495;68.62685856
3030;118.8073;111.9617122
3031;341.52221;334.3343877
3032;101.73405;100.3707078
3033;141.6514;140.0099985
3034;206.4679;207.4860403
3035;509.1743;498.0063296
3036;19.7248;23.12002751
3037;526.1468;534.4826832
3038;426.81097;421.8160831
3039;106.789;107.31065
3040;254.6789;254.8137523
3041;408.2569;401.6046642
3042;169.9083;168.4478514
3043;51.055;50.08962495
3044;15.7798;16.86938774
3045;238.00558;236.0621063
3046;139.5413;139.4638585
3047;122.06169;122.0839899
3048;6.422;7.918222862
3049;399.0826;402.3151986
3050;274.1284;279.6571927
3051;193.4862;203.8708018
3052;176.85801;172.2582497
3053;277.4771;276.7578569
3054;367.8227;362.623291
3055;113.8073;114.21641
3056;121.1468;113.7953972
3057;267.53377;282.4273998
3058;42.5229;42.76706211
3059;559.1743;550.0501869
3060;111.1468;118.2968868
3061;11.4644;12.19778326
3062;140.63973;137.3821819
3063;446.3303;438.258412
3064;416.5138;419.6608643
3065;183.9908;184.0016981
3066;380.2752;385.5417742
3067;31.4679;28.9826099
3068;321.5596;320.1512549
3069;318.3486;313.8722976
3070;91.7431;94.62489488
3071;489.9083;491.1984246
3072;79.7248;78.4493765
3073;134.5413;132.2202377
3074;7.9961;6.187617796
3075;70.0459;72.7369642
3076;167.5229;162.9840769
3077;122.9358;114.3720593
3078;39.2202;39.52427885
3079;117.8899;117.2705747
3080;60.6936;62.06179083
3081;482.1101;484.6856851
3082;470.6422;469.2269365
3083;38.2466;39.97880759
3084;8.211;11.18607764
3085;200.4128;195.9859887
3086;239.69892;250.0736163
3087;197.0642;197.8972183
3088;377.9816;374.7189581
3089;544.9541;536.3379439
3090;40.07704;39.25232238
3091;10.0459;10.5070019
3092;79.6724;83.85903772
3093;95.5505;101.8582409
3094;429.72719;433.1365805
3095;338.476;342.4612227
3096;21.7431;26.5740538
3097;84.9083;86.62517807
3098;409.59552;430.0842739
3099;404.70372;405.234375
3100;7.6606;11.33971705
3101;362.3853;361.6655789
3102;145;147.1313488
3103;215.4587;211.4310565
3104;383.0275;392.7096417
3105;471.1009;462.1147392
3106;352.7523;354.9560423
3107;6.8349;4.759519755
3108;330.7339;325.6605142
3109;101.3303;93.75323173
3110;88.61708;92.73784862
3111;110.4587;114.6874229
3112;20.367;23.9232322
3113;85.7339;75.90388064
3114;308.1193;313.9393258
3115;254.1743;257.6333322
3116;315.52216;311.3740734
3117;141.6514;145.939094
3118;167.43739;181.4801464
3119;78.9908;79.98416429
3120;32.2477;30.79869832
3121;99.4495;93.83329379
3122;60.2294;46.48567606
3123;210.2752;207.9452322
3124;17.2018;13.52108427
3125;106.2385;107.5684146
3126;47.2018;49.58289047
3127;56.422;49.40421223
3128;136.8979;137.0938898
3129;167.2018;144.4487425
3130;134.5413;133.9227839
3131;250.8716;243.3467187
3132;483.9449;468.3626226
3133;308.945;320.2925294
3134;30.5963;31.26344531
3135;240.2698;239.2484722
3136;11.6514;13.16479804
3137;379.8165;362.6774274
3138;103.8991;100.8393425
3139;7.0642;6.482114851
3140;243.4862;244.8270264
3141;132.7064;129.1040682
3142;503.95113;477.7159772
3143;439.4495;439.1871051
3144;32.2018;35.57023561
3145;44.8624;50.31154201
3146;137.9816;114.7075879
3147;25.7339;29.02267539
3148;370.1835;374.5789678
3149;120.8716;115.2946079
3150;28.7156;30.41401878
3151;202.3394;197.9999104
3152;210.6881;208.3818228
3153;315.1376;301.3852981
3154;227.4771;231.8567679
3155;307.89986;303.8527426
3156;244.4954;239.0191197
3157;96.2844;100.7010625
3158;114.3578;116.1787384
3159;566.055;534.2838351
3160;292.4312;298.4710836
3161;22.158;21.0940204
3162;181.9266;183.4798792
3163;200.1376;201.0359188
3164;405.64436;408.805271
3165;410.5505;418.0148519
3166;298.7615;307.1912928
3167;14.9541;17.17484312
3168;221.5138;225.8246487
3169;356.8807;352.4949191
3170;50.8716;49.38215174
3171;71.5138;73.89579701
3172;134.0826;148.4477683
3173;94.1743;94.13122388
3174;24.7592;27.35596198
3175;5.0459;4.023763783
3176;295.3211;298.3617662
3177;126.1079;122.5564606
3178;360.5505;325.6907942
3179;85.8716;83.3921334
3180;192.4771;194.4041952
3181;13.0734;16.8440058
3182;171.21351;180.8279854
3183;294.2202;290.4409884
3184;102.9358;111.1118592
3185;12.5688;15.8743008
3186;244.4495;235.207123
3187;450.9174;463.8998213
3188;123.3945;120.801467
3189;382.1101;393.592056
3190;158.4404;157.5421453
3191;16.8807;18.4444958
3192;356.422;356.6144184
3193;54.0367;53.4154779
3194;278.0347;298.1693936
3195;27.2936;30.13402425
3196;233.3486;224.886148
3197;42.1101;43.60565771
3198;302.5688;303.7205347
3199;72.7064;70.76108764
3200;468.78612;462.6203136
3201;223.3141;233.3916296
3202;337.47589;367.008808
3203;150;144.2883072
3204;176.57576;172.967322
3205;50.6881;51.12564769
3206;130.7798;134.7705964
3207;295.7798;291.8818227
3208;100.8257;99.99803266
3209;309.53753;315.9814919
3210;145.1835;143.3463831
3211;20.6422;22.68457736
3212;40.367;39.01702054
3213;170.7432;161.082145
3214;111.7431;104.061728
3215;374.7706;371.4363964
3216;89.3119;86.82182762
3217;236.789;229.6886669
3218;173.945;178.4832444
3219;378.4404;381.173543
3220;21.8807;21.28696026
3221;8.3028;9.278964932
3222;332.1101;334.9203238
3223;83.53721;92.73494573
3224;64.4954;62.3234003
3225;181.8882;182.2668164
3226;108.0925;115.5355306
3227;7.5229;9.943921077
3228;206.3761;203.757756
3229;127.9817;127.3572591
3230;68.3486;67.67909267
3231;394.0367;395.6279842
3232;199.0366;198.8588609
3233;451.3761;450.4836219
3234;93.8991;91.81566985
3235;184.8165;187.8494999
3236;269.4495;270.2678661
3237;188.0275;153.6083469
3238;198.0275;210.6280575
3239;76.6859;85.96276195
3240;190.8716;183.1699688
3241;101.1468;101.5419458
3242;1.789;3.453422026
3243;11.8807;6.827186773
3244;299.5872;302.1231527
3245;18.7615;17.75816143
3246;452.2936;456.4559258
3247;283.3027;290.5496651
3248;8.7615;10.85934245
3249;168.8991;167.2971641
3250;3.3028;6.836359314
3251;439.4495;435.0801537
3252;154.4954;152.9977557
3253;226.10795;227.1601815
3254;6.64743;4.771479769
3255;320.3211;317.6849815
3256;274.6789;270.6595291
3257;325.2294;327.8499057
3258;108.7615;115.0495325
3259;119.7706;118.9645359
3260;388.5321;392.3061994
3261;483.9449;481.2105956
3262;81.59916;74.57116738
3263;167.4771;156.8174131
3264;190.75148;185.8854506
3265;259.1743;257.2081324
